Date,Time,Company,Position,Resume_File,PDF_File,Status,Notes
2025-09-05,18:34:37,Tesla,Optimus Simulation,resume_tesla-optimus-simulation.html,../Resume/Skipped/resume_tesla-optimus-simulation.pdf,Skipped,Auto-generated from tesla-optimus-simulation
2025-09-05,18:58:44,Tesla,Optimus Simulation,../Resume/HTMLs\resume_tesla-optimus-simulation.html,../Resume/Skipped/resume_tesla-optimus-simulation.pdf,Skipped,Auto-generated from tesla-optimus-simulation
2025-09-05,19:33:21,Tesla,Ai Ml Intern Fall2025,../Resume/HTMLs\resume_tesla-ai-ml-intern-fall2025.html,../Resume/To_Apply\resume_tesla-ai-ml-intern-fall2025.pdf,PDF Created,Auto-generated from tesla-ai-ml-intern-fall2025
2025-09-05,19:45:18,Cognitiv,Ml Engineer Intern,../Resume/HTMLs\resume_cognitiv-ml-engineer-intern.html,../Resume/To_Apply\resume_cognitiv-ml-engineer-intern.pdf,PDF Created,Auto-generated from cognitiv-ml-engineer-intern
2025-09-05,19:55:19,Lyft,Data Science Algorithms Intern,../Resume/HTMLs\resume_lyft-data-science-algorithms-intern.html,../Resume/To_Apply\resume_lyft-data-science-algorithms-intern.pdf,PDF Created,Auto-generated from lyft-data-science-algorithms-intern
2025-09-05,20:04:26,Cna,Ai Engineering Tech Intern,../Resume/HTMLs/resume_cna-ai-engineering-tech-intern.html,../Resume/To_Apply/resume_cna-ai-engineering-tech-intern.pdf,PDF Created,Auto-generated from cna-ai-engineering-tech-intern
2025-09-05,20:36:36,Waters,Research Ml Coop,../Resume/HTMLs/resume_waters-research-ml-coop.html,../Resume/To_Apply/resume_waters-research-ml-coop.pdf,PDF Created,Auto-generated from waters-research-ml-coop
2025-09-05,21:06:12,Cirrus,Logic Aiml Intern,../Resume/HTMLs/resume_cirrus-logic-aiml-intern.html,../Resume/To_Apply/resume_cirrus-logic-aiml-intern.pdf,PDF Created,Auto-generated from cirrus-logic-aiml-intern
2025-09-05,21:22:43,Texas,Instruments It Intern,../Resume/HTMLs/resume_texas-instruments-it-intern.html,../Resume/To_Apply/resume_texas-instruments-it-intern.pdf,PDF Created,Auto-generated from texas-instruments-it-intern
2025-09-05,21:44:55,Waymo,Systems Genai Intern,../Resume/HTMLs/resume_waymo-systems-genai-intern.html,../Resume/To_Apply/resume_waymo-systems-genai-intern.pdf,PDF Created,Auto-generated from waymo-systems-genai-intern
2025-09-15,18:48:30,Asu,Design Data Assistant,../Resume/HTMLs/resume_asu-design-data-assistant.html,../Resume/To_Apply/resume_asu-design-data-assistant.pdf,PDF Created,Auto-generated from asu-design-data-assistant
2025-09-20,11:33:25,Honeywell,Aiml Intern,../Resume/HTMLs/resume_honeywell-aiml-intern.html,../Resume/To_Apply/resume_honeywell-aiml-intern.pdf,PDF Created,Auto-generated from honeywell-aiml-intern
2025-10-02,17:57:51,Medtronic,Ai Data Science,../Resume/HTMLs/resume_medtronic-ai-data-science.html,../Resume/To_Apply/resume_medtronic-ai-data-science.pdf,PDF Created,Auto-generated from medtronic-ai-data-science
2025-10-02,18:07:20,Aparavi,Ai Developer Intern,../Resume/HTMLs/resume_aparavi-ai-developer-intern.html,../Resume/To_Apply/resume_aparavi-ai-developer-intern.pdf,PDF Created,Auto-generated from aparavi-ai-developer-intern
2025-10-02,18:30:38,Marvell,Ai Platform Intern,../Resume/HTMLs/resume_marvell-ai-platform-intern.html,../Resume/To_Apply/resume_marvell-ai-platform-intern.pdf,PDF Created,Auto-generated from marvell-ai-platform-intern
2025-10-02,18:31:11,Raydar,Ml Nlp Engineer,../Resume/HTMLs/resume_raydar-ml-nlp-engineer.html,../Resume/To_Apply/resume_raydar-ml-nlp-engineer.pdf,PDF Created,Auto-generated from raydar-ml-nlp-engineer
2025-10-02,18:34:18,Dex,Founding Engineer Graduate,../Resume/HTMLs/resume_dex-founding-engineer-graduate.html,../Resume/To_Apply/resume_dex-founding-engineer-graduate.pdf,PDF Created,Auto-generated from dex-founding-engineer-graduate
2025-10-02,18:39:51,Lyft,Software Engineer Rider,../Resume/HTMLs/resume_lyft-software-engineer-rider.html,../Resume/To_Apply/resume_lyft-software-engineer-rider.pdf,PDF Created,Auto-generated from lyft-software-engineer-rider
2026-02-04,18:00:00,Ford,Software Engineer,../Resume/HTMLs/resume_ford-software-engineer.html,../Resume/To_Apply/resume_ford-software-engineer.pdf,PDF Created,Manual Fix
2026-02-04,18:01:00,Debug,Test,../Resume/Drafts/test.html,../Resume/To_Apply/test_debug.pdf,PDF Created,Debug Entry
